state,lga,ward,health_facility,Latitude,Longitude,type_hf,status,accessibility
Adamawa,Demsa,Dong,Janawuri HC,9.466183,2.028773,PHC,Functioning,True
Adamawa,Demsa,Dong,Mararraba Bille HC,11.9458,8.114632,Health Clinic,Functioning,True
Adamawa,Demsa,Dong,Ngbekedewe HC,13.10336667,9.096396667,PHC,Functioning,True
Adamawa,Demsa,Dwam,Dowaya HC,12.725,9.5911111,PHC,Functioning,True
Adamawa,Demsa,Dwam,Dwam HC,12.89575,9.762963333,PHC,Functioning,True
Adamawa,Demsa,Dwam,Maliki HC,12.89944444,9.765555556,PHC,Functioning,True
Adamawa,Demsa,Dwam,Sabongari HC,12.95166667,9.76638889,Health Post,Functioning,True
Adamawa,Demsa,Gwamba,Bellenga HC,12.95388889,9.815,Health Clinic,Functioning,True
Adamawa,Demsa,Gwamba,Gwamba HC,12.95135833,9.815086667,Health Post,Functioning,True
Adamawa,Demsa,Gwamba,Lasala HC,12.02569,9.843575,Health Post,Functioning,True
Adamawa,Demsa,Gwamba,Sundi HC,17.91833333,9.89972222,PHC,Functioning,True
Adamawa,Demsa,Kpasham,Bali HC,11.06891333,9.93148333,PHC,Functioning,True
Adamawa,Demsa,Kpasham,Bariki HC,13.00527778,9.98027778,Health Clinic,Functioning,True
Adamawa,Demsa,Kpasham,DEM HC,13.00488333,9.997181667,PHC,Functioning,False
Adamawa,Demsa,Kpasham,KIWAFARA HC,12.97098833,10.01816,PHC,Functioning,True
Adamawa,Demsa,Kpasham,Kpasham HC,12.048056,10.041944,PHC,Functioning,True
Adamawa,Demsa,Kpasham,Tagombali HC,13.13245117,10.04470667,Health Clinic,Functioning,True
Adamawa,Demsa,Kpasham,TASHAN GURGU HC,13.13666667,10.05388889,Health Clinic,Functioning,True
Adamawa,Demsa,Kpasham,YADINI HC,13.13447833,10.05418333,PHC,Functioning,True
Adamawa,Demsa,Mbula Kuli,Kpakmiyagi HC,13.05444444,10.06166667,Health Post,Functioning,True
Adamawa,Demsa,Mbula Kuli,Mbula PHCC,13.19722222,10.07027778,Health Post,Functioning,True
Adamawa,Demsa,Mbula Kuli,Tahau HC,11.87939167,10.083375,Health Clinic,Partially Functioning,True
Adamawa,Demsa,Nassarawo Demsa,FDMC,13.03416667,10.08388889,PHC,Functioning,True
Adamawa,Demsa,Nassarawo Demsa,Gadina HC,13.250278,10.113889,Hospital,Partially Functioning,True
Adamawa,Demsa,Nassarawo Demsa,Kedemuri HC,12.98944444,10.14638889,Health Post,Functioning,True
Adamawa,Demsa,Nassarawo Demsa,LUKPANGA,13.04780833,10.16726333,PHC,Functioning,True
Adamawa,Demsa,Nassarawo Demsa,Nassarawo Demsa PHC,13.01000283,10.23093333,Health Post,Functioning,True
Adamawa,Fufore,Beti,Ba-omshe HP,13.17,10.25681,Health Clinic,Functioning,True
Adamawa,Fufore,Beti,Belichuti HC,13.02731833,10.261045,Health Clinic,Partially Functioning,True
Adamawa,Fufore,Beti,BETI BAPPAWO,12.25739194,10.27950361,Health Post,Not Functioning,True
Adamawa,Fufore,Beti,Chigari BHC,12.813425,10.292865,Health Post,Functioning,True
Adamawa,Fufore,Beti,Garin chekke HP,13.04162333,10.301205,Health Clinic,Functioning,True
Adamawa,Fufore,Beti,Gawi HP,12.94519667,10.30405833,Health Clinic,Functioning,True
Adamawa,Fufore,Beti,Wuro Ardo HC,12.870312,10.30606,Health Clinic,Functioning,True
Adamawa,Fufore,Farang,Damare HP,12.31285583,10.30733833,Health Post,Not Functioning,True
Adamawa,Fufore,Farang,Farang MCH,12.97122833,10.31230167,Health Clinic,Functioning,True
Adamawa,Fufore,Farang,GOSHIDANG,13.11434,10.333637,PHC,Functioning,False
Adamawa,Fufore,Farang,Kuryaji HP,12.5447328,10.3544688,Health Clinic,Functioning,True
Adamawa,Fufore,Farang,Magdari HP,12.97902,10.35823667,Health Post,Functioning,True
Adamawa,Fufore,Farang,MBILLA MALABU,12.594458,10.3848486,Health Post,Functioning,True
Adamawa,Fufore,Farang,Mubako HC,13.02583333,10.415185,Health Clinic,Functioning,True
Adamawa,Fufore,Farang,Ribadu HP,12.872155,10.421253,Health Clinic,Functioning,True
Adamawa,Fufore,Fufore,Cott. Hosp. Fufore,12.858553,10.42826,Health Clinic,Functioning,True
Adamawa,Fufore,Fufore,FUFORE MODERN CLINIC,13.010734,10.432703,Health Post,Functioning,True
Adamawa,Fufore,Fufore,FUFORE PHCC,12.9624801,10.4366158,Health Post,Functioning,True
Adamawa,Fufore,Fufore,IDP  CAMP,12.9624796,10.436664,Health Clinic,Functioning,True
Adamawa,Fufore,Gurin,Chikito HP,13.427786,10.4417502,Health Post,Partially Functioning,True
Adamawa,Fufore,Gurin,Gurin BHC,12.88757333,10.44392,Hospital,Functioning,True
Adamawa,Fufore,Gurin,Parda HP,13.14165633,10.444955,Health Post,Functioning,True
Adamawa,Fufore,Gurin,Wuro yolde HC,12.884051,10.446286,Health Clinic,Partially Functioning,True
Adamawa,Fufore,Karlahi,Bagauri HP,13.018056,10.451389,Health Clinic,Functioning,True
Adamawa,Fufore,Karlahi,BOKKI,12.871515,10.45313,Health Clinic,Functioning,True
Adamawa,Fufore,Karlahi,Bosvani HP,12.88440124,10.45388429,Health Clinic,Functioning,True
Adamawa,Fufore,Karlahi,Gogra PHC,13.0801,10.45691,Health Clinic,Functioning,True
Adamawa,Fufore,Karlahi,Gwariga PHC,12.874145,10.458358,PHC,Functioning,True
Adamawa,Fufore,Karlahi,KARLAHI,12.882515,10.461243,Health Clinic,Functioning,True
Adamawa,Fufore,Karlahi,Ngurore PHC,12.921008,10.468572,Health Post,Functioning,True
Adamawa,Fufore,Mayo Inne,GATRO HC,12.31286972,10.47400444,Health Post,Not Functioning,True
Adamawa,Fufore,Mayo Inne,Jilima HP,12.80611111,10.47472222,Health Post,Functioning,True
Adamawa,Fufore,Mayo Inne,KABILLO PHCC,12.30689194,10.479505,Health Post,Not Functioning,True
Adamawa,Fufore,Mayo Inne,Kiri HC,13.0463,10.480457,Health Post,Functioning,True
Adamawa,Fufore,Mayo Inne,Mayo ine MCH,12.872033,10.49067,Health Clinic,Functioning,True
Adamawa,Fufore,Mayo Inne,Mayo sirka HP,12.4477,10.4924054,Health Clinic,Functioning,True
Adamawa,Fufore,Mayo Inne,NDIGALA HC,12.728272,10.4933942,Health Post,Not Functioning,False
Adamawa,Fufore,Mayo Inne,Wuro lamido HP,12.33588,10.4942186,Health Post,Not Functioning,False
Adamawa,Fufore,Pariya,Bagale HC,12.5620368,10.4948912,Health Post,Functioning,True
Adamawa,Fufore,Pariya,Bengo PHC,13.262222,10.5025,PHC,Functioning,True
Adamawa,Fufore,Pariya,Daware MCH,13.01671,10.5158596,Health Post,Functioning,True
